Date,Institution,Thought,Category,Label
2/24/2023,SOC,"In the broad spectrum of options you have to invest in the investment world, you probably don't want to put your money into risky assets or equities. Bonds are your safe haven bet you're getting very high coupons, high yields, and you have the upside from a potential rally in bonds.",Investments,Bonds
2/24/2023,SOC,"If we get higher yields and fixed income prices go lower, the coupon will absolutely save me. Coupon makes the capital loss less painful.",Markets,Debt
2/24/2023,SOC,"I mean, if you're looking at you're getting very high yields in the very front end of the yield curve, I would say that a lot of investors, even in their personal accounts, you start looking at five and a half percent returns in the very short end. It's very, very attractive. If you have cash to put to work, you'd probably want to put it in the bill market or the front end of the bond market because your returns are going to be very, very high and safe. You have a lot of volatility if you put that market into money, into risky assets.",Investments,Bonds
2/24/2023,SOC,"But broadly for the US, I feel like there's just going to be a wall of cash that starts entering the bond market again when 10-Year starts getting above 4% fixed income assets. In general, you look at corporate bonds, even ETF, just seeing a tremendous amount of inflows into the bond market. So I think that that sort of wall of cash is going to cap the rising years over the near term.",Markets,Debt
2/24/2023,SOC,You're looking at negative 80 basis points in 2-10s.,Markets,Debt
2/24/2023,BER,And so they really should move 50 to reinforce their inflation fighting credibility and to slow aggregate demand in the economy.,Policy,Hiking Cycle
2/24/2023,BER,"Everybody's focusing on the funds rate. It's still below the rate of inflation. If the funds rate is negative in real terms, is monetary policy really restrictive?",Economy,Inflation
2/24/2023,SOC,"If you'd said 5% Fed Funds pushing six and then said 3-4%, unemployment and retail sales where that is, jobless claims where they are, I just wouldn't have believed it. The same thing with the ECB, this idea we're now going to push 4% from negative 50. Only twelve months ago, we were still doing QE in the United States.",Economy,Interest Rates
2/24/2023,SOC,"I think looking at market moves day to day, week to week is going to be very difficult. To predict directionality because it's just a lot of confluence of so many different factors to take into account.",Markets,Equity
2/24/2023,SOC,The Fed is almost at the end of its rate hike cycle. So really what we're looking at is to see when that pivot will be calling.,Policy,Hiking Cycle
2/24/2023,SOC,"The timing of the pivot is going to be very difficult, but I think the destination is clear. Ultimately, the Fed wants to orchestrate demand destruction.",Policy,Hiking Cycle
2/24/2023,SOC,"Under those circumstances, what you're going to see is a slowdown in the economy eventually and recession. And that to us would mean that yields would have to go eventually lower timing when that's going to happen, exactly when that pivot is going to happen is extraordinarily difficult.",Policy,Hiking Cycle
2/24/2023,SOC,I think the yield curve is going to remain relatively inverted if ew near a 6% terminal rate.,Markets,Debt
2/24/2023,SOC,"I don't see why the long end will sell off a lot and the yield curve will deepen. Unless the Fed is thinking about pivoting on policy, this is very much going to be a front-end led sell off in bonds.",Markets,Debt
2/24/2023,SOC,Our view is that the US economy is going to go into recession in early 2024.,Economy,Recession
2/24/2023,SOC,"The yield curve is going to remain inverted for a good portion of this year. We'll be looking to see when that yield curve starts to steepen. Both deepen as a sign, if you will, of when the Fed might potentially pivot.",Markets,Debt
